N,bits,seed,params,mse,nmse,best_nmse,steps,success
413,32,2,82464,0.0008626194321550429,0.0008775738789541345,0.0008775738789541345,301,True
620,32,0,82464,0.0006218760390765965,0.0006240020521943278,0.0006240020521943278,701,True
620,32,1,82464,0.0006730723544023931,0.00066715539805988,0.00066715539805988,601,True
620,32,2,82464,0.00013687199680134654,0.00013765428678145218,0.00013765428678145218,901,True
930,32,0,82464,0.0006661956431344151,0.0006671989937857999,0.0006671989937857999,2201,True
930,32,1,82464,0.0005514973308891058,0.000553727460398665,0.000553727460398665,2001,True
930,32,2,82464,0.0009737717919051647,0.0009696920516684449,0.0009696920516684449,1201,True
1395,32,0,82464,0.005703401751816273,0.005716953998946918,0.002677343329206165,5000,False
1395,32,1,82464,0.009195749647915363,0.00920879284556118,0.0016265646382702546,5000,False
1395,32,2,82464,0.006888342089951038,0.006850055439840575,0.002362408880556394,5000,False
2093,32,0,82464,0.045144882053136826,0.045507554446101606,0.029887792974528725,5000,False
2093,32,1,82464,0.045485932379961014,0.045496063577697456,0.03437472799320256,5000,False
2093,32,2,82464,0.024014834314584732,0.023836982057074286,0.0317224700536189,5000,False
3140,32,0,82464,0.15384429693222046,0.15419831339315718,0.14412072253156022,5000,False
3140,32,1,82464,0.13312527537345886,0.1334458371476224,0.13381485678887728,5000,False
3140,32,2,82464,0.14460791647434235,0.14403164279124606,0.13434515577977138,5000,False
